element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,CITED2,CITED2,,1847.1926364470523,2592.493880519651,-745.3012440725988,negative
vertex,CLCF1,CLCF1,,1847.1926364470523,2624.944033267438,-777.7513968203857,negative
vertex,CLDND1,CLDND1,,1847.1926364470523,2625.1756034239893,-777.982966976937,negative
vertex,CLEC2I,CLEC2I,,1847.1926364470523,2592.241821646888,-745.0491851998358,negative
vertex,CLIC1,CLIC1,,1847.1926364470523,2592.587156473179,-745.3945200261269,negative
vertex,CLPB,CLPB,,1847.1926364470523,2593.5843067092605,-746.3916702622082,negative
vertex,CLPP,CLPP,,1847.1926364470523,2593.6170428586724,-746.4244064116201,negative
vertex,CMTM6,CMTM6,,1847.1926364470523,2593.5668538803443,-746.374217433292,negative
vertex,CMTM7,CMTM7,,1847.1926364470523,2593.5531554260974,-746.3605189790451,negative
vertex,CNDP2,CNDP2,,1847.1926364470523,2593.59670368677,-746.4040672397177,negative
vertex,CNN3;LOC100047856,CNN3;LOC100047856,,1847.1926364470523,2594.5872972645043,-747.394660817452,negative
vertex,CNOT6L,CNOT6L,,1847.1926364470523,2593.920231180157,-746.7275947331045,negative
vertex,COG6,COG6,,1847.1926364470523,2593.9199323912358,-746.7272959441834,negative
vertex,COQ3,COQ3,,1847.1926364470523,2593.907680881803,-746.7150444347508,negative
vertex,CORO1B,CORO1B,,1847.1926364470523,2593.955234990081,-746.7625985430286,negative
vertex,COX17,COX17,,1847.1926364470523,2593.8493580760164,-746.6567216289641,negative
vertex,CPD,CPD,,1847.1926364470523,2593.562799894618,-746.3701634475656,negative
vertex,CPOX,CPOX,,1847.1926364470523,2594.5440279850804,-747.3513915380281,negative
vertex,CRABP2,CRABP2,,1847.1926364470523,2594.113952281104,-746.9213158340517,negative
vertex,CRADD,CRADD,,1847.1926364470523,2593.7847303780163,-746.592093930964,negative
vertex,CREB1,CREB1,,1847.1926364470523,2592.3914914254333,-745.198854978381,negative
vertex,CREB3L2,CREB3L2,,1847.1926364470523,2595.791364611675,-748.5987281646226,negative
vertex,CREM,CREM,,1847.1926364470523,2595.9727977548646,-748.7801613078123,negative
vertex,CRIP1,CRIP1,,1847.1926364470523,2596.0963643198165,-748.9037278727642,negative
vertex,CRMP1,CRMP1,,1847.1926364470523,2596.0747077154665,-748.8820712684142,negative
vertex,CRTAM,CRTAM,,1847.1926364470523,2596.0174030767994,-748.824766629747,negative
vertex,CRTC3;LOC100047733,CRTC3;LOC100047733,,1847.1926364470523,2595.9973603697117,-748.8047239226594,negative
vertex,CRYBG3,CRYBG3,,1847.1926364470523,2596.004829444134,-748.8121929970816,negative
vertex,CSDA,CSDA,,1847.1926364470523,2595.8526564093568,-748.6600199623044,negative
vertex,CSF1,CSF1,,1847.1926364470523,2596.0312642451017,-748.8386277980494,negative
vertex,CSF2,CSF2,,1847.1926364470523,2596.0378363715536,-748.8451999245012,negative
vertex,CSRP1,CSRP1,,1847.1926364470523,2596.023942889112,-748.8313064420595,negative
vertex,CSRP2,CSRP2,,1847.1926364470523,2596.050578527681,-748.8579420806286,negative
vertex,CST7,CST7,,1847.1926364470523,2596.063804484608,-748.8711680375559,negative
vertex,CTH,CTH,,1847.1926364470523,2596.0564749428095,-748.8638384957571,negative
vertex,CTLA2A,CTLA2A,,1847.1926364470523,2579.0502153007046,-731.8575788536523,negative
vertex,CTLA2A;CTLA2B,CTLA2A;CTLA2B,,1847.1926364470523,2579.0453931398106,-731.8527566927582,negative
vertex,CTLA2B,CTLA2B,,1847.1926364470523,2579.367310241856,-732.1746737948038,negative
vertex,CTLA4,CTLA4,,1847.1926364470523,2579.352122511339,-732.1594860642867,negative
vertex,CTNNA1,CTNNA1,,1847.1926364470523,2578.7837687324495,-731.5911322853972,negative
vertex,CTSL,CTSL,,1847.1926364470523,2579.0894359133354,-731.896799466283,negative
vertex,CTSS,CTSS,,1847.1926364470523,2578.869216543382,-731.6765800963299,negative
vertex,CTSW,CTSW,,1847.1926364470523,2579.0740094285047,-731.8813729814524,negative
vertex,CTSZ,CTSZ,,1847.1926364470523,2579.061672375902,-731.8690359288498,negative
vertex,CTTN,CTTN,,1847.1926364470523,2579.0564609951452,-731.8638245480929,negative
vertex,CUGBP2,CUGBP2,,1847.1926364470523,2579.051098125665,-731.8584616786125,negative
vertex,CXCL10,CXCL10,,1847.1926364470523,2560.396463664616,-713.2038272175637,negative
vertex,CXCL13,CXCL13,,1847.1926364470523,2577.729603480061,-730.5369670330088,negative
vertex,CXCR3,CXCR3,,1847.1926364470523,2577.067843166009,-729.8752067189566,negative
vertex,CXCR4,CXCR4,,1847.1926364470523,2577.2819060953834,-730.0892696483311,negative
